Kód produktu;Název;Nákupní cena;Prodejní cena;Mare Kè;Mare %;Multishop
121708/231772;"Oboustrannı háèek na háèkování vel. 1;2;3;4;5;6;7;8";10.67;18.3;7.63;41.69;40
121708/231773;"Oboustrannı háèek na háèkování vel. 1;2;3;4;5;6;7;8";10.67;18.3;7.63;41.69;40
121708/231774;"Oboustrannı háèek na háèkování vel. 1;2;3;4;5;6;7;8";11.86;30.3;18.44;60.86;60
121708/231775;"Oboustrannı háèek na háèkování vel. 1;2;3;4;5;6;7;8";10.67;18.3;7.63;41.69;40
121708/231776;"Oboustrannı háèek na háèkování vel. 1;2;3;4;5;6;7;8";10.67;18.3;7.63;41.69;40
121708/231777;"Oboustrannı háèek na háèkování vel. 1;2;3;4;5;6;7;8";10.67;18.3;7.63;41.69;40
121708/249805;"Oboustrannı háèek na háèkování vel. 1;2;3;4;5;6;7;8";10.67;18.3;7.63;41.69;40
121708/263382;"Oboustrannı háèek na háèkování vel. 1;2;3;4;5;6;7;8";10.67;18.3;7.63;41.69;40
121709/231772;"Oboustrannı háèek na háèkování vel. 1;2;3;4;5;6;7;8";64.02;79.6;15.58;19.57;20
121709/231773;"Oboustrannı háèek na háèkování vel. 1;2;3;4;5;6;7;8";64.02;79.6;15.58;19.57;20
121709/231774;"Oboustrannı háèek na háèkování vel. 1;2;3;4;5;6;7;8";71.16;127.1;55.94;44.01;45
121709/231775;"Oboustrannı háèek na háèkování vel. 1;2;3;4;5;6;7;8";64.02;79.6;15.58;19.57;20
121709/231776;"Oboustrannı háèek na háèkování vel. 1;2;3;4;5;6;7;8";64.02;79.6;15.58;19.57;20
121709/231777;"Oboustrannı háèek na háèkování vel. 1;2;3;4;5;6;7;8";71.16;127.1;55.94;44.01;45
121709/249805;"Oboustrannı háèek na háèkování vel. 1;2;3;4;5;6;7;8";64.02;79.6;15.58;19.57;20
121709/263382;"Oboustrannı háèek na háèkování vel. 1;2;3;4;5;6;7;8";64.02;79.6;15.58;19.57;20
3076/31343;Spona trojzubec šíøe 20 mm;29.04;32.0;2.96;9.25;10
3076/84513;Spona trojzubec šíøe 20 mm;14.7;27.6;12.9;46.74;45
45075/84513;Spona trojzubec šíøe 20 mm;314.0;344.9;30.9;8.96;10
94777/84513;Spona trojzubec šíøe 20 mm;88.2;107.8;19.6;18.18;20
91424/31344;Spona trojzubec šíøe 25 mm;16.2;39.1;22.9;58.57;60
91425/31344;Spona trojzubec šíøe 25 mm;432.0;0.0;-432.0;0;0
94778/31344;Spona trojzubec šíøe 25 mm;97.2;152.8;55.6;36.39;35
1186/31345;Spona trojzubec šíøe 30 mm;15.95;29.9;13.95;46.66;45
49799/31345;Spona trojzubec šíøe 30 mm;319.0;350.9;31.9;9.09;10
94780/31345;Spona trojzubec šíøe 30 mm;102.0;124.5;22.5;18.07;20
138212/107252;Kovové rohy na kabelky a doplòky;14.0;26.4;12.4;46.97;45
