Kód produktu;Název;Nákupní cena;Prodejní cena;Mare Kè;Mare %;Multishop
128642/194093;"Kruhové jehlice è. 4,5; 5; 6; 7";330.0;0.0;-330.0;0;0
128642/194094;"Kruhové jehlice è. 4,5; 5; 6; 7";332.8;366.0;33.2;9.07;10
128642/194096;"Kruhové jehlice è. 4,5; 5; 6; 7";232.9;366.0;133.1;36.37;35
128642/194097;"Kruhové jehlice è. 4,5; 5; 6; 7";232.9;366.0;133.1;36.37;35
128643/194093;"Kruhové jehlice è. 4,5; 5; 6; 7";690.0;0.0;-690.0;0;0
128643/194094;"Kruhové jehlice è. 4,5; 5; 6; 7";698.7;768.8;70.1;9.12;10
128643/194096;"Kruhové jehlice è. 4,5; 5; 6; 7";698.7;768.8;70.1;9.12;10
128643/194097;"Kruhové jehlice è. 4,5; 5; 6; 7";698.7;768.8;70.1;9.12;10
81458/194093;"Kruhové jehlice è. 4,5; 5; 6; 7";33.0;57.0;24.0;42.11;40
81458/194094;"Kruhové jehlice è. 4,5; 5; 6; 7";33.28;56.2;22.92;40.78;40
81458/194096;"Kruhové jehlice è. 4,5; 5; 6; 7";23.29;56.2;32.91;58.56;60
81458/194097;"Kruhové jehlice è. 4,5; 5; 6; 7";23.29;56.2;32.91;58.56;60
104796/205974;Sada háèkù na háèkování v pouzdøe;503.38;824.8;321.42;38.97;40
91578/205974;Sada háèkù na háèkování v pouzdøe;251.69;458.2;206.51;45.07;45
98876/211388;Sada háèkù na háèkování a cvakaèky v pouzdøe;139.3;170.3;31.0;18.2;20
98877/211388;Sada háèkù na háèkování a cvakaèky v pouzdøe;417.9;459.7;41.8;9.09;10
109345/224574;"Háèek na háèkování se silikonovou rukojetí vel. 2; 2,5; 3; 3,5; 4; 4,5; 5; 5,5; 6";152.46;167.7;15.24;9.09;10
120281/211434;"Háèek na háèkování se silikonovou rukojetí vel. 2; 2,5; 3; 3,5; 4; 4,5; 5; 5,5; 6";84.7;133.1;48.4;36.36;35
